ごろごろ	57	243	313
ごろつき	105	401	15
ごろつく	1	17	4
ごろ寝	10	103	7
ごわごわ	23	208	24
さ	4694055	36717	23116
さあ	529	14025	1686
さく	2953	6219	67
ささくれる	3	243	3
さざめく	3	71	3
さして	544	2999	77
さす	2441	999	397
さすらう	76	175	8
さっき	296	18869	1633
さっさと	184	6115	436
さっぱり	368	9659	711
さて	749	109	99
さばさば	18	35	26
さめざめ	16	92	4
さもしい	13	153	7
さやさや	11	46	2
さようなら	551	1423	436
さよなら	2669	960	5
さら	2538	5503	101
さらえ	14	56	2
さらさら	117	1380	230
さらば	1300	807	91
さらり	80	1845	76
されど	126	1392	73
さん	38830	1176198	66896
さんざめく	1	19	2
さん付け	40	174	3
ざく	343	327	2
ざくざく	3	541	38
ざくり	6	11	2
ざす	21	383	4
ざっくばらん	76	799	25
ざっくり	82	1956	54
ざら	323	2586	78
ざらざら	106	679	49
ざらつく	87	400	15
ざわざわ	49	418	41
ざわつく	8	407	21
ざわめく	22	387	32
ざんばら	18	54	7
しおらしい	4	143	10
しかく	165	88	2
しかと	28	398	57
しがない	101	560	17
しくしく	6	257	55
しくじる	13	417	33
しこしこ	2	237	6
しこたま	26	362	32
しこる	1	124	7
しじま	238	86	6
したり顔	4	142	13
しっくり	181	421	141
しっとり	204	3834	259
しっぽり	5	50	10
しつこい	101	8083	394
しとしと	3	167	20
しとど	18	34	3
しどけない	4	39	7
しどろもどろ	31	463	33
しな	1313	1175	22
しなやか	483	3410	143
しばれる	2	63	3
しぶとい	56	908	62
しぼ	125	22	9
しみったれ	7	19	2
しめやか	19	149	3
しゃあしゃあ	1	64	11
しゃかりき	46	128	24
しゃがむ	77	2270	105
しゃきしゃき	3	554	64
しゃぎり	48	21	3
しゃくる	2	248	35
しゃくれる	1	87	9
しゃしゃり出る	2	252	10
しゃぶしゃぶ	160	227	52
しゃぶりつく	3	45	6
しゃぶる	17	962	51
しゃんと	9	241	33
しゅうしゅう	25	52	14
しゅっ	81	816	123
しゅんと	7	118	18
しょっちゅう	166	4828	249
しょっぱい	67	897	70
しょっぴく	1	69	6
しょぼい	10	973	59
しょぼしょぼ	4	29	22
しょぼん	7	128	10
しょんぼり	18	77	41
しれっと	8	135	11
しんと	103	709	56
しんどい	68	7844	369
しんなり	10	20	51
しんみり	22	99	42
じくじく	1	64	4
じたばた	5	535	39
じっくり	637	25685	609
じっと	629	13991	1095
じっとり	3	192	17
じとじと	1	45	5
じめじめ	30	383	33
じゃ	16560	6	8
じゃあ	487	5982	3
じゃあじゃあ	1	22	21
じゃが	62	395	47
じゃじゃ馬	218	145	16
じゃらじゃら	2	171	20
じゃんじゃん	33	668	44
じゅう	4671	2330	1
じゅっ	79	129	15
じょっぱり	13	42	1
じりじり	82	1053	100
じり貧	12	396	26
じろじろ	24	620	74
じろり	4	134	18
じわじわ	241	2739	109
じわりじわり	10	151	8
じんた	35	22	12
すいすい	35	1130	56
すかさず	342	2319	146
すかす	19	61	6
すかすか	5	54	29
すがら	18	70	7
すき焼き	258	1268	137
すくすく	87	1708	47
すぐる	107	308	22
